标题,链接,内容摘要
这所快100岁的“华南第一学府”，有多了不起?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7246300071128498723%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e42aed0d88c79ca88476dae9919dda617dbc90a463cd8a5da9cedfeee436a8e06a5387bb3cbea42a3088f5720ec80da5,在广东以北的“北方人”眼里，“华南第一学府”中山大学，是一座遥远而神秘的名校——在广州的高楼大厦里， 绿意满满的中山大学分外醒目。
中山大学传来好消息，深圳校区扩招!报考优势，令人心动,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7334246839140499987%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7fdcf8ddeb65eb66716aedcff8f79e990e7f582609cfe13d84dd2d97fd243fce707f6da729e405cf083c195d4e9cf8006,中山大学是985全国重点大学，在世界四大排行榜上，中山大学排名遥遥领先，位居全国高校前十之列，也是世界百强大学，其实力和地位令人刮目相看。
中山大学是985倒数吗?跟清华北大差距大吗?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7331168136797946403%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73f95df8f65ee141d04a3f2e43dfdebf501984e8bbac0bc40b19431aedc767d40fd11d5f61d640060f9741111acc1a899,"开朗铅笔Da
26评论
2月3日"
,,
人这一辈子，一定要去中山大学邂逅百年红楼!,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7353604794411860530%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7fb419db29f1def675069d8b82b6756b50dd83042b704344d5ab420d8c439685189dd5fb227966c31d909f1ceab96b547,百年红楼屹立中大南校园，青翠草木间，红墙绿瓦古朴典雅，拾级而上，可闻历史遗韵。中山大学南校园。瞿澄远 摄 中山大学南校园怀士堂。
中山大学简介,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7256683858731942461%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e0f3cfd90f34633d5979dd184e0b4d132bdc18ffd41b31f3fddaef96b9eb74046050d79f7950c762bb7e1a3e134cb860,学校概况 985、211、双一流，国重点，教育部直属。校本部位于广东省广州市、另有珠海、深圳两个校区。二:学校简史 1924年孙中山先生创办国立广东大...
中山大学-小视频,https://so.toutiao.com/search?keyword=%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6&pd=xiaoshipin&source=aladdin&dvpf=pc&aid=4916&page_num=0&abparams={}&from_search_id=2024042616125265E1C49DAEE396DEF878,
马克龙为什么访问中山大学?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7220406523409891872%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e79269ea4b49fdb2126e4c812bc972a0a4c2d80aabf0016d1583da01dfdf109ba834608704f903b872b2314576a2e60a42,4月7日下午，在对中国进行国事访问期间，马克龙抵达广州中山大学南校区与学生进行交流。而中山大学，也成为法国总统马克龙本次中国行唯一访问的高校。
中山大学回应了,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7268530427433042484%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7d6ec9bf222d032357cb9803dce71c0d7477bec90c34c95295fcf3420ee79c5cba5103ef72743e6963954d594a578c0b5,昨日(8月17日)，广州日报·新花城记者从中山大学有关部门了解到，针对参观游览需求的群体，学校已在研究制定相关方案，将在保证学校正常教学科研秩...
中山大学集体患癌事件，第一次直观的体会到了，什么是信息壁垒,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7328353770273047052%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7c94e18f432079c6a2bf285229f31dd153562cefcadc52ddc1c5abdc031909d9be0607eda64a3310ded299e0e34460090,播放次数：3万次
