,aweme_id,like_num,comment_num,download_num,share_num,collect_num
0,7250440240895216954,115466,10146,656,11816,7180
1,7305621357927173376,5772,860,378,2234,2195
2,7250813765694852367,35974,4505,1415,12636,5213
3,7261958280082148647,72843,5896,292,5922,4409
4,7290130578412866857,3176,2058,0,377,511
5,7029742912028101895,3455,375,0,1006,726
6,7347195776096800036,17647,722,57,3343,1081
7,7358852981694958848,14817,881,63,634,1225
8,7298313806042696995,2939,182,3,225,526
9,7347188630424784137,82139,2860,194,18101,4152
10,7343168008203832611,59178,2083,76,3322,2658
11,7358821928712310035,679,42,0,24,67
12,7301877354941435148,13882,2688,59,5459,653
13,7261421294279773479,5186,774,33,569,434
14,7359041412085697843,237,38,0,3,5
15,7352508152321002802,533,121,1,319,22
16,7313143456866536744,2216545,48357,1933,282294,162322
17,7358071134421519670,110,13,1,19,2
18,7347728730430672143,283,42,1,25,16
19,7353601062240128271,71325,2354,396,3374,3480
20,7358791609590320420,4544,1675,27,246,368
21,7323097133479890212,3498,430,0,537,906
22,7357268954999508260,17926,1982,79,9328,1141
23,7326852429310414119,915457,96086,2204,199221,28986
24,7353592708239330560,101967,5002,220,4038,4326
25,7357239722210577703,705,143,3,437,69
26,7358331712448875795,5,2,0,2,0
27,6865689251992947981,-1,-1,-1,-1,-1
28,7223010596306881832,-1,-1,-1,-1,-1
29,7262941940495158582,15727,4274,37,252,376
30,7301727499107503386,208783,92866,719,49349,5573
31,7281579773820767548,103074,4770,0,8269,10532
32,7358303579263814950,26,1,0,4,4
33,7358667045858266409,172,29,6,42,12
34,7326852429310414119,915457,96086,2204,199221,28986
35,7313143456866536744,2216545,48356,1933,282294,162322
36,7358862048727485711,853,9,0,14,46
37,7332443739748666658,53811,12702,4,327,808
38,7358628655137918245,8,1,0,0,0
39,7358407391106436379,425,183,1,493,27
40,7355255240494566706,10488,1327,0,1803,1246
41,7358331712448875795,5,2,0,2,0
42,7358025974501362944,701,124,0,10,32
43,7223010596306881832,-1,-1,-1,-1,-1
44,7332421299089820937,10133,964,37,461,499
45,7323097133479890212,3498,430,0,537,906
46,7358830696741244194,136,18,2,6,25
47,7329435325007252799,20916,1393,212,4764,1576
48,7328317482173844747,107165,8428,654,7060,4563
49,7116740625692724512,1356,50,21,105,179
50,7358668940211490088,7707,728,10,717,225
51,7273805074185342223,5525,601,61,698,494
52,7204374048728501562,210,116,13,83,29
53,7330840417509952803,395506,41739,0,28641,7350
54,7353612775761005824,939,36,0,55,105
55,7279627732269534500,38713,4919,2,4811,3006
56,7329469451517103395,668335,140739,426,41071,17967
57,7312106583201287424,17480,1285,305,1860,2045
58,7264765411810463032,2878,1462,62,548,890
59,7350163247598701863,41034,3703,488,13677,4913
60,7348047244471405874,12248,3318,559,10251,1480
61,7328276529203531060,56264,95,0,3931,1908
62,7331242689851149578,1194,66,24,146,110
63,7312743596044602675,7181,2424,0,1156,2318
64,7277900323576892726,11814,2572,119,2296,507
65,7329928892624538899,2969,318,2,128,160
66,7260383740877114676,245,26,0,8,8
67,7328702580840746250,1985,173,0,334,1258
68,7332320041876147491,14260,4500,5,236,318
69,7271597177439358247,250764,9240,76,11707,4076
70,7298646912566086922,94,7,6,91,71
71,7356449301507116340,19627,1406,0,20547,897
72,7358987049866726656,9,8,0,0,4
73,7281271745766608186,2786,246,64,357,525
74,7353859774015884581,4504,3144,15,380,280
75,7358985349579754752,37,176,0,2,9
76,7350576199510396223,15886,1450,163,9037,2292
77,7357338822817893683,11389,320,545,4323,11062
78,7358770919084494107,109,35,2,37,18
79,7324201040906128659,4806,742,2,960,1955
80,7301930174113746188,98534,9170,44,5168,4050
81,7359075392084266281,-1,-1,-1,-1,-1
82,6992886999958949133,-1,-1,-1,-1,-1
83,7107161971274845453,0,8,0,0,0
84,7345000140282842404,245,5,0,7,16
85,7274178641225862419,66,66,1,19,2
86,7349778794263088411,781,11,9,77,74
87,7325824682928786714,317831,99435,283,148234,9896
88,7353634478738263347,38181,1812,200,932,2385
89,7243774597579934979,3355,938,0,844,407
90,7265642166867774735,9882,956,0,2796,433
91,7343261908205587763,28122,6113,17,1359,698
92,7280022827934223631,705,132,0,93,43
93,7353614227069848866,5353,110,0,278,851
94,7107161971274845453,27,8,1,8,3
95,7358337263132036393,983,167,18,174,235
96,7359064294295686410,238,12,0,8,17
97,7353613391920942351,3962,108,0,114,287
98,7329969133322243338,24746,6717,124,2271,874
99,7358676525207538956,7,1,0,0,3
100,7358755453385379106,1637,272,103,982,489
101,7323464355255749898,2256,173,66,456,1154
102,7358791161978293514,102,11,0,26,31
103,7329839347920899368,10716,1377,25,278,259
104,7312058935450537231,461677,9136,469,46391,28148
105,7353558427018284288,3040,82,21,68,152
106,7329841567659871503,-1,-1,-1,-1,-1
107,7358860451255422208,462,21,3,14,26
108,6968452661226114311,367,48,9,105,15
109,7358740380109507891,148,18,0,0,2
110,7349869041130949942,9275,549,26,734,429
111,7353653856527584564,809,0,11,40,49
112,7006316378131156239,-1,-1,-1,-1,-1
113,7228517842277125388,-1,-1,-1,-1,-1
114,7358085752070131007,-1,-1,-1,-1,-1
115,7274143727449361705,714,195,0,198,61
116,7349874456216472872,2713,60,8,336,254
117,7354229431558245686,-1,-1,-1,-1,-1
118,7284157129106148668,-1,-1,-1,-1,-1
119,7284157129106148668,-1,-1,-1,-1,-1
120,7307544322491075867,11866,2576,14,6034,839
121,7228559684100230411,17,17,0,7,5
122,7358703585783221540,-1,-1,-1,-1,-1
123,7339354052825713946,1576,366,163,1478,519
124,7342535797868088613,-1,-1,-1,-1,-1
125,7205779407644921092,89,168,0,25,32
126,7069410202004573477,-1,-1,-1,-1,-1
127,7358862802922130726,16,2,1,1,0
128,7326771092574555444,16581,41,2,294,490
129,7349859696989310262,5066,86,26,398,824
130,7349743092162907407,43581,1386,292,7524,3657
131,7275228769965575481,19738,616,19,1048,388
132,7340127330645347611,6157,549,8,2041,604
133,7307524778628336937,-1,-1,-1,-1,-1
134,7314983345320889626,6642,83,134,2267,1368
135,7105568948837535016,-1,-1,-1,-1,-1
136,7353521568741444927,2246,0,52,263,226
137,7359008237309480230,195,15,0,2,5
138,7315360479784783156,4210,579,8,314,488
139,7330252960473107749,7292,50,24,266,1024
140,7359061362321968384,-1,-1,-1,-1,-1
141,7349036793292918016,9760,576,69,205,422
142,7120602301403893029,-1,-1,-1,-1,-1
143,7301871907832368424,3004,1368,85,395,246
144,7116671002108644612,130,62,2,34,15
145,7358433062117461257,20230,3543,2615,29216,9623
146,7358316365549161764,-1,-1,-1,-1,-1
147,7300988892751170857,-1,-1,-1,-1,-1
148,7332399032561585423,280764,10137,304,22789,6116
149,7332399032561585423,280764,10137,304,22789,6116
150,7354320850469784842,7017,85,29,151,278
151,7359065380574268691,797,43,0,512,82
152,7156088709102718219,-1,-1,-1,-1,-1
153,7219990870425177384,355,65,63,278,203
154,7301592404497321257,9579,2383,48,995,414
155,7323749242424610048,65007,2439,114,7896,2978
156,7337633175079816467,-1,-1,-1,-1,-1
157,7353837690330123535,353,7,3,16,41
158,7339884164340010278,9938,1405,0,1575,1190
159,7330493189201087807,11717,4702,15,408,396
160,7280203548036566333,41963,3947,1704,5228,2879
161,7350139572539526436,786,30,0,88,81
162,7356913850316360999,9,0,0,0,3
163,7338959348892241206,-1,-1,-1,-1,-1
164,7273002503862504763,78171,27816,2254,34395,6113
165,7353547719039798543,2931,20,0,104,239
166,7346633549472107827,-1,-1,-1,-1,-1
