标题,标题链接,摘要,来源,时间
助力现代化海洋牧场发展 中山大学打造智慧养殖融合模式,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2024%2F04%2F01%2FARTIJbvzaFCoWlKG5snZRYQl240401.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							""台山1号""半潜桁架式养殖平台据介绍，以中山大学海洋科学学院为主体的中山大学-台山海洋发展优势种业与智慧养殖联合研发中心（以下简称中心）为""台山1号""平台创建了3个全国领先的智慧养殖融合模式。		                        						",来源：地方频道,发布时间：2024-04-01 20:53:37
困难学生炫富、过度消费？中山大学通报：终止其助学金发放,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F11%2F16%2FARTIzdHHr6Kup8DHfL3GiVRD231116.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							　　央视网消息：据中山大学学生资助管理中心，11月14日，中山大学学生资助管理中心收到关于中山大学家庭经济困难学生赵某某存在炫富和过度消费的举报，其所在学院和中山大学学生资助管理中心迅速启动调查程序。　　		                        						",来源：新闻,发布时间：2023-11-16 02:10:02
全民健康：走进中山大学肿瘤防治中心,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2023%2F07%2F27%2FARTIdD3ZBWpnL2ViWkxPhzK1230727.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							央视网消息：中山大学肿瘤防治中心（中山大学附属肿瘤医院、中山大学肿瘤研究所）成立于1964年3月，是新中国成立最早的四所肿瘤医院之一，也是全国规模最大、学术力量最雄厚的集医疗、教学、科研、预防于一体的肿瘤学基地之一		                        						",来源：教育,发布时间：2023-07-27 21:49:58
法国总统马克龙致函感谢中山大学,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F05%2F17%2FARTIsY8NP0mlIaJNM3crCTQx230517.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							今年4月7日，马克龙访问中山大学，并在该校演讲和回答学生提问。马克龙在信中感谢了中山大学的盛情接待，并有机会参观校园与学生进行交流。　　		                        						",来源：新闻,发布时间：2023-05-17 14:36:04
“中山大学研制”护肤品 和中山大学什么关系？,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2020%2F12%2F01%2FARTIR0d60WALwVT407iLLTCw201201.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							中山大学品牌直销店客服表示“中山大学没有参与研发” 对此，中闻律师事务所合伙人王国华表示：“中山大学这个名称是属于中山大学专享的一个权利，除了中山大学之外，其他任何主体		                        						",来源：新闻,发布时间：2020-12-01 15:24:13
中山大学附属第一医院协作医院在龙岩揭牌,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2023%2F05%2F22%2FARTI5GSU5IemkFbH9oTRwTvB230522.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							揭牌仪式龙岩市委书记余红胜、龙岩市长胡盛与中山大学附属第一医院党委书记骆腾，广州市卫健委党组成员、广州市民营医疗行业党委专职副书记高峰共同为协作医院揭牌，龙岩副市长修洪与中山大学附属第一医院护理学科带头人		                        						",来源：福建频道,发布时间：2023-05-22 10:36:14
赋能机关事务管理 广东省机关事务管理局与中山大学共建研究院和人才培训基地,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2024%2F01%2F31%2FARTIyFIdWGhopbeIZIPtv77k240131.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							中山大学校长、中国科学院士高松表示，中山大学与广东省机关事务管理局开展深层次合作，是理论研究与咨政服务协同创新在机关事务管理领域贡献广东智慧的重要举措。		                        						",来源：地方频道,发布时间：2024-01-31 16:15:17
教与学的“双向奔赴” 中山大学在广东连州举办乡村振兴数字公开课,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Flocal.cctv.com%2F2023%2F09%2F13%2FARTIDuAtJEq9XXQ2tfxMzEPu230913.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							广东省司法厅、中山大学、广东司法警官职业学院驻镇帮镇扶村工作队进驻连州市丰阳镇两年多来，一直注重通过开展高质量培训、推动人才外出学习交流等方式培养留得住、干得好的乡村振兴人才。		                        						",来源：地方频道,发布时间：2023-09-13 16:57:35
中山大学深圳校区正式投入使用,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2020%2F08%2F25%2FARTISMiDtFbE4YpSv7HsOcNO200825.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							”中国科学院院士、中山大学校长罗俊如是说。罗俊校长表示，中山大学在深圳办学的初衷是希望深圳校区在助力广东和深圳新时代创新引领方面提供更好的服务与支撑。		                        						",来源：新闻,发布时间：2020-08-25 10:26:35
第五届海峡两岸中山论坛中山大学分论坛在广州举行,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F09%2F09%2FARTI2YD6hANRdry9GFzeFQKB230909.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D1,"
		                        								                        							
		                        									                        							9月9日，第五届海峡两岸中山论坛中山大学分论坛在广州举行，广东省委常委王瑞军，中山大学党委书记陈春声、广东省委台办主任钟挥锷等领导和中国国民党前代理主席林政则、亲民党主席宋楚瑜、新党前主席郁慕明等台湾嘉宾出席		                        						",来源：新闻,发布时间：2023-09-09 11:55:15
中山大学：与哲学系李某某解除合同 杨某退出博士后流动站,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fnews.cctv.com%2F2023%2F09%2F28%2FARTI9Af1z4nDRlhESq5N2dTa230928.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"
		                        								                        							
		                        									                        							　　央视网消息：""中山大学""微信公众号9月28日晚间发布情况通报：9月24日晚，我校收到关于哲学系专职副研究员李某某、博士后杨某相关问题的举报材料。9月25日，学校成立调查小组进行调查。		                        						",来源：新闻,发布时间：2023-09-28 20:24:55
为何中山大学的海洋学科能迅速崛起,https://search.cctv.com/link_p.php?targetpage=https%3A%2F%2Fedu.cctv.com%2F2021%2F03%2F19%2FARTIuqSWxorSdm0G5bKFQenl210319.shtml&point=web_normal&ref=https%3A%2F%2Fsearch.cctv.com%2Fsearch.php%3Fqtext%3D%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%A6%26type%3Dweb%26sort%3Drelevance%26vtime%3D%26datepid%3D1%26channel%3D%26page%3D2,"
		                        								                        							
		                        									                        							最近，我国最大的海洋综合科考实习船“中山大学”号在上海下水。“为什么中山大学要大力发展海洋学科？为什么中山大学的海洋学科能在中国海洋科教版图上迅速崛起？		                        						",来源：教育,发布时间：2021-03-19 17:32:17
