,title,content,url,answer,model,extract_time
7,“靶向药”联合“化疗”！中山大学再发文：揭示癌症治疗新选择,"研究人员发现以PQR309为靶点,应用PI3K/mTOR作为治疗方案，可代表一种促进鼻咽癌对吉西他滨应答的治疗选择。这为鼻咽癌靶向药物联合化疗的研究提供了理论基础。",https://news.qq.com/rain/a/20240405A03OTR00,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""鼻咽癌治疗研究发布"",
      ""description"": ""研究人员发现以PQR309为靶点,应用PI3K/mTOR作为治疗方案，可代表一种促进鼻咽癌对吉西他滨应答的治疗选择。"",
      ""startDate"": null
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""进行鼻咽癌治疗研究的高等教育机构""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:21:51.225895
9,【STTT】中山大学研究团队再发文：治疗癌症转移新策略,循环肿瘤细胞是癌症患者远处转移的前兆。更好地了解CTC的异质性以及这些CTC如何在血行扩散过程中存活，可以为癌症转移的治疗预防奠定基础。在癌症患者中，较高百分比的CD45 CTC与较高的转移发生率和较差的预后密切相关。,https://news.qq.com/rain/a/20240413A048U200,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""中山大学研究团队发表关于癌症转移新策略的研究"",
      ""description"": ""中山大学研究团队发表了一项关于治疗癌症转移新策略的研究，该研究关注循环肿瘤细胞的异质性和其在血行扩散过程中的存活机制。"",
      ""startDate"": ""2024-04-13""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""中山大学是一所位于中国广东省的研究型大学，参与了多项科学研究，包括癌症治疗策略的研究。""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:21:52.394454
2,中山大学与深圳医学科学院签署战略合作框架协议,该校与深圳医学科学院15日在深圳签署战略合作框架协议，双方将围绕生物医学领域的重大科学技术问题开展合作研究，打造教育、科技、人才三位一体的高地。4月15日，中山大学与深圳医学科学院签署战略合作框架协议。,https://news.qq.com/rain/a/20240415A0A18G00,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""战略合作框架协议签署"",
      ""description"": ""中山大学与深圳医学科学院签署战略合作框架协议，旨在围绕生物医学领域的重大科学技术问题开展合作研究，打造教育、科技、人才三位一体的高地。"",
      ""startDate"": ""2024-04-15""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""一所位于中国广东省的高等学府，参与了与深圳医学科学院的战略合作框架协议签署。""
    },
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity2"",
      ""name"": ""深圳医学科学院"",
      ""description"": ""位于中国深圳的医学研究机构，与中山大学签署了战略合作框架协议。""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity2""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:21:56.368123
5,中山大学与深圳医学科学院强强联合，深化多领域合作,4月15日，中山大学与深圳医学科学院在中山大学深圳校区签署战略合作框架协议，双方将围绕生物医学领域的重大科学技术问题开展合作研究，打造教育、科技、人才三位一体的高地。,https://news.qq.com/rain/a/20240415A0AAN300,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""战略合作框架协议签署"",
      ""description"": ""中山大学与深圳医学科学院在中山大学深圳校区签署战略合作框架协议，旨在围绕生物医学领域的重大科学技术问题开展合作研究，打造教育、科技、人才三位一体的高地。"",
      ""startDate"": ""2024-04-15""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""一所位于中国广东省的综合性大学，参与签署战略合作框架协议。""
    },
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity2"",
      ""name"": ""深圳医学科学院"",
      ""description"": ""位于深圳的医学研究机构，与中山大学签署战略合作框架协议。""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity2""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:21:56.570596
4,中山大学举行百年校庆年文艺展演,中国青年报客户端讯今年是中山大学建校100周年。3月31日晚，中山大学在广州中山纪念堂举办百年校庆年首场文艺展演，并同步启动了中山大学艺术基金募捐活动。,https://news.qq.com/rain/a/20240402A04Q5100,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""中山大学百年校庆年文艺展演"",
      ""description"": ""中山大学在广州中山纪念堂举办百年校庆年首场文艺展演，并同步启动了中山大学艺术基金募捐活动。"",
      ""startDate"": ""2024-03-31""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""中山大学是一所位于广州的高等学府，庆祝其建校100周年。""
    },
    {
      ""@type"": ""Place"",
      ""@id"": ""entity2"",
      ""name"": ""广州中山纪念堂"",
      ""description"": ""广州中山纪念堂是中山大学百年校庆年文艺展演的举办地点。""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""LocatedAt"",
      ""source"": ""event1"",
      ""target"": ""entity2""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:21:56.778489
8,中山大学首次在香港颁发“校级荣衔”,春茗仪式上，中山大学颁发了“中山大学名誉校董”“逸仙友谊奖”“逸仙杰出教育贡献奖”“逸仙教育贡献奖”等校级荣衔，授予对该校教育发展事业做出杰出贡献的校友、社会贤达和团体机构。据悉，这是该校首次在香港颁发“校级荣衔”。,https://news.qq.com/rain/a/20240421A05ZBO00,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""中山大学校级荣衔颁发仪式"",
      ""description"": ""中山大学在香港举行的春茗仪式上，颁发了包括‘中山大学名誉校董’、‘逸仙友谊奖’、‘逸仙杰出教育贡献奖’、‘逸仙教育贡献奖’等校级荣衔，以表彰对学校教育发展事业做出杰出贡献的校友、社会贤达和团体机构。"",
      ""startDate"": ""2024-04-21""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""中山大学是一所位于中国广东省的高等学府，此次在香港颁发了校级荣衔。""
    },
    {
      ""@type"": ""Place"",
      ""@id"": ""entity2"",
      ""name"": ""香港"",
      ""description"": ""香港是此次中山大学校级荣衔颁发仪式的举办地。""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""LocatedAt"",
      ""source"": ""event1"",
      ""target"": ""entity2""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:21:58.953902
3,中山大学举办百年校庆年首场文艺展演,实习生陈姝妃通讯员邱清萌3月31日晚，为迎接百年华诞，中山大学在广州中山纪念堂举办百年校庆年首场文艺展演。作为中山大学百年校庆系列献礼活动的其中一项，本次百年校庆年文艺展演不仅是百年校庆年的第一场音乐会，也是一场公益性质的演出。,https://news.qq.com/rain/a/20240401A052K900,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""中山大学百年校庆年首场文艺展演"",
      ""description"": ""中山大学在广州中山纪念堂举办的百年校庆年首场文艺展演，作为百年校庆系列献礼活动的一部分，具有公益性质。"",
      ""startDate"": ""2024-03-31""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""举办百年校庆年首场文艺展演的大学""
    },
    {
      ""@type"": ""Place"",
      ""@id"": ""entity2"",
      ""name"": ""广州中山纪念堂"",
      ""description"": ""举办中山大学百年校庆年首场文艺展演的地点""
    },
    {
      ""@type"": ""Person"",
      ""@id"": ""entity3"",
      ""name"": ""陈姝妃"",
      ""description"": ""实习生，参与报道中山大学百年校庆年首场文艺展演""
    },
    {
      ""@type"": ""Person"",
      ""@id"": ""entity4"",
      ""name"": ""邱清萌"",
      ""description"": ""通讯员，参与报道中山大学百年校庆年首场文艺展演""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""LocatedAt"",
      ""source"": ""event1"",
      ""target"": ""entity2""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    },
    {
      ""@id"": ""rel3"",
      ""relationshipType"": ""ReportsOn"",
      ""source"": ""entity3"",
      ""target"": ""event1""
    },
    {
      ""@id"": ""rel4"",
      ""relationshipType"": ""ReportsOn"",
      ""source"": ""entity4"",
      ""target"": ""event1""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:22:06.421655
6,中山大学校友伉俪捐赠1亿元庆母校百年华诞,中山大学今年迎来百岁华诞，4月17日，中山大学校友伉俪林斌、刘向东向中山大学捐赠1亿元人民币为母校庆生。捐赠签约仪式在中山大学广州校区南校园怀士堂举行。林斌、刘向东校友伉俪，当年毕业时在中山大学广州校区南校园合影。,https://news.qq.com/rain/a/20240418A04LZ800,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""中山大学百年华诞庆祝活动"",
      ""description"": ""中山大学庆祝其成立100周年"",
      ""startDate"": ""2024-04-17""
    },
    {
      ""@type"": ""Event"",
      ""@id"": ""event2"",
      ""name"": ""林斌、刘向东捐赠仪式"",
      ""description"": ""林斌、刘向东校友伉俪向中山大学捐赠1亿元人民币"",
      ""startDate"": ""2024-04-17""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Person"",
      ""@id"": ""entity1"",
      ""name"": ""林斌"",
      ""description"": ""中山大学校友，捐赠者""
    },
    {
      ""@type"": ""Person"",
      ""@id"": ""entity2"",
      ""name"": ""刘向东"",
      ""description"": ""中山大学校友，捐赠者""
    },
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity3"",
      ""name"": ""中山大学"",
      ""description"": ""接受捐赠的大学，庆祝其百年华诞""
    },
    {
      ""@type"": ""Place"",
      ""@id"": ""entity4"",
      ""name"": ""中山大学广州校区南校园怀士堂"",
      ""description"": ""捐赠签约仪式的举办地点""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""Causes"",
      ""source"": ""event1"",
      ""target"": ""event2""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event2"",
      ""target"": ""entity1""
    },
    {
      ""@id"": ""rel3"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event2"",
      ""target"": ""entity2""
    },
    {
      ""@id"": ""rel4"",
      ""relationshipType"": ""LocatedAt"",
      ""source"": ""event2"",
      ""target"": ""entity4""
    },
    {
      ""@id"": ""rel5"",
      ""relationshipType"": ""RecipientOf"",
      ""source"": ""event2"",
      ""target"": ""entity3""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:22:09.632260
0,中山大学 - 百科,百科中山大学（Sun Yat-sen University，简称中大），是中国教育部直属高校，部省共建的综合性大学，是国家“双一流”“985工程”“211工程”建设高校，学校位于广州市，现任党委书记陈春声、校长高松。校训为“博学、审问、慎思、明辨、笃行”。截至2023年5月31日，学校有广州校区、珠海校区、深圳校区三个校区、五个校园及十家附属医院组成，设有本科专业（办学权）136个，博士学位一级学科授权点57个，硕士学位一级学科授权点64个，专业学位类别43种，博士后科研流动站44个，拥有国际合作学院1所，国家级研究机构36个，教职工4970人。中山大学的前身是1924年孙中山先生创立的国立广东大学，1926年孙中山逝世后定名为国立中山大学，1952年分别设立中山大学和中山医科大学，2001年10月将中山大学和中山医科大学合并而成中山大学。截至2024年，中山大学位列2024年ABC中国大学排名第14名；位列2022软科中国大学排名第12名；在2023年QS世界大学排名位列第267名。,https://baike.sogou.com/v49159.htm?ch=tencent.news,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""国立广东大学创立"",
      ""description"": ""孙中山先生于1924年创立国立广东大学"",
      ""startDate"": ""1924-01-01""
    },
    {
      ""@type"": ""Event"",
      ""@id"": ""event2"",
      ""name"": ""国立中山大学命名"",
      ""description"": ""孙中山逝世后，国立广东大学于1926年定名为国立中山大学"",
      ""startDate"": ""1926-01-01""
    },
    {
      ""@type"": ""Event"",
      ""@id"": ""event3"",
      ""name"": ""中山大学与中山医科大学合并"",
      ""description"": ""2001年10月，中山大学和中山医科大学合并"",
      ""startDate"": ""2001-10-01""
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""中国教育部直属高校，部省共建的综合性大学，国家‘双一流’‘985工程’‘211工程’建设高校""
    },
    {
      ""@type"": ""Person"",
      ""@id"": ""entity2"",
      ""name"": ""孙中山"",
      ""description"": ""中国近代伟大的民主革命先行者，创立了国立广东大学""
    },
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity3"",
      ""name"": ""国立广东大学"",
      ""description"": ""1924年由孙中山创立，后更名为国立中山大学""
    },
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity4"",
      ""name"": ""中山医科大学"",
      ""description"": ""与中山大学合并的医科大学""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""Causes"",
      ""source"": ""entity2"",
      ""target"": ""event1""
    },
    {
      ""@id"": ""rel2"",
      ""relationshipType"": ""Follows"",
      ""source"": ""event1"",
      ""target"": ""event2""
    },
    {
      ""@id"": ""rel3"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event3"",
      ""target"": ""entity1""
    },
    {
      ""@id"": ""rel4"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event3"",
      ""target"": ""entity4""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:22:12.609997
12,抑制肿瘤生长！中山大学最新发文：肿瘤治疗新策略,通过靶向KAT8/YEATS4轴来抑制YEATS4乙酰化可能是BC患者的一种有前途的治疗干预措施。研究结果揭示了KAT8/YEATS4轴在BC细胞肿瘤生长和顺铂敏感性中的关键作用，有可能为BC患者提供一种新的治疗策略。,https://news.qq.com/rain/a/20240406A042LJ00,"```json
{
  ""@context"": ""http://schema.org"",
  ""@type"": ""EventGraph"",
  ""events"": [
    {
      ""@type"": ""Event"",
      ""@id"": ""event1"",
      ""name"": ""肿瘤治疗新策略研究发布"",
      ""description"": ""中山大学发布了一项研究，通过靶向KAT8/YEATS4轴来抑制YEATS4乙酰化，可能为BC患者提供一种新的治疗策略。"",
      ""startDate"": null
    }
  ],
  ""entities"": [
    {
      ""@type"": ""Organization"",
      ""@id"": ""entity1"",
      ""name"": ""中山大学"",
      ""description"": ""进行肿瘤治疗新策略研究的机构""
    }
  ],
  ""relationships"": [
    {
      ""@id"": ""rel1"",
      ""relationshipType"": ""HasParticipant"",
      ""source"": ""event1"",
      ""target"": ""entity1""
    }
  ]
}
```",deepseek-chat,2024-06-17 22:26:03.705245
